Row Labels;Sum of msgs_per_sec;;
2026-01-17T16:00:29.1991372Z;4979;;4979
2026-01-17T16:00:30.2055238Z;5029;;5029
2026-01-17T16:00:31.2651133Z;4972;;4972
2026-01-17T16:00:32.2803296Z;5166;;5166
2026-01-17T16:00:33.3134970Z;4981;;4981
2026-01-17T16:00:34.3394539Z;5203;;5203
2026-01-17T16:00:35.3632810Z;5062;;5062
2026-01-17T16:00:36.3903056Z;5155;;5155
2026-01-17T16:00:37.4185241Z;5052;;5052
2026-01-17T16:00:38.4438934Z;5019;;5019
2026-01-17T16:00:39.4706941Z;5015;;5015
2026-01-17T16:00:40.5151638Z;5116;;5116
2026-01-17T16:00:41.5285999Z;5032;;5032
2026-01-17T16:00:42.5533615Z;5419;;5419
